epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1558198225552,2019-05-18T18:50:25.552,18.000,0.201,-0.871,0.372
1558198225632,2019-05-18T18:50:25.632,18.080,0.202,-0.871,0.372
1558198225712,2019-05-18T18:50:25.712,18.160,0.202,-0.872,0.371
1558198225792,2019-05-18T18:50:25.792,18.240,0.201,-0.872,0.371
1558198225872,2019-05-18T18:50:25.872,18.320,0.201,-0.872,0.371
1558198225952,2019-05-18T18:50:25.952,18.400,0.203,-0.872,0.370
1558198226032,2019-05-18T18:50:26.032,18.480,0.202,-0.871,0.371
1558198226112,2019-05-18T18:50:26.112,18.560,0.202,-0.871,0.370
1558198226192,2019-05-18T18:50:26.192,18.640,0.201,-0.871,0.372
1558198226272,2019-05-18T18:50:26.272,18.720,0.202,-0.872,0.371
1558198226352,2019-05-18T18:50:26.352,18.800,0.201,-0.871,0.370
1558198226432,2019-05-18T18:50:26.432,18.880,0.202,-0.871,0.371
1558198226512,2019-05-18T18:50:26.512,18.960,0.202,-0.872,0.372
1558198226592,2019-05-18T18:50:26.592,19.040,0.201,-0.872,0.372
1558198226672,2019-05-18T18:50:26.672,19.120,0.202,-0.872,0.371
1558198226752,2019-05-18T18:50:26.752,19.200,0.202,-0.871,0.371
1558198226832,2019-05-18T18:50:26.832,19.280,0.202,-0.872,0.372
1558198226912,2019-05-18T18:50:26.912,19.360,0.202,-0.872,0.371
1558198226992,2019-05-18T18:50:26.992,19.440,0.202,-0.871,0.371
1558198227072,2019-05-18T18:50:27.072,19.520,0.201,-0.872,0.370
1558198227152,2019-05-18T18:50:27.152,19.600,0.202,-0.872,0.370
1558198227232,2019-05-18T18:50:27.232,19.680,0.201,-0.871,0.371
1558198227312,2019-05-18T18:50:27.312,19.760,0.202,-0.872,0.371
1558198227392,2019-05-18T18:50:27.392,19.840,0.202,-0.872,0.371
1558198227472,2019-05-18T18:50:27.472,19.920,0.201,-0.872,0.370
1558198227552,2019-05-18T18:50:27.552,20.000,0.201,-0.871,0.370
1558198227632,2019-05-18T18:50:27.632,20.080,0.201,-0.872,0.372
1558198227712,2019-05-18T18:50:27.712,20.160,0.202,-0.872,0.373
1558198227792,2019-05-18T18:50:27.792,20.240,0.202,-0.872,0.371
1558198227872,2019-05-18T18:50:27.872,20.320,0.202,-0.872,0.371
1558198227952,2019-05-18T18:50:27.952,20.400,0.202,-0.872,0.371
1558198228032,2019-05-18T18:50:28.032,20.480,0.201,-0.871,0.371
1558198228112,2019-05-18T18:50:28.112,20.560,0.202,-0.872,0.370
1558198228192,2019-05-18T18:50:28.192,20.640,0.202,-0.872,0.370
1558198228272,2019-05-18T18:50:28.272,20.720,0.201,-0.872,0.370
1558198228352,2019-05-18T18:50:28.352,20.800,0.202,-0.872,0.371
1558198228432,2019-05-18T18:50:28.432,20.880,0.202,-0.871,0.372
1558198228512,2019-05-18T18:50:28.512,20.960,0.202,-0.871,0.372
1558198228592,2019-05-18T18:50:28.592,21.040,0.202,-0.872,0.371
